date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:47	88108/88108	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221582c-54d9d3f32f634%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:50	88108/88108	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221582c-54d9d3f32f634%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Blackd41d.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:55	39916/39916	---M--	200	added ('OK')	application/x-font-woff	etag:%229bec-54d9d3f3353f4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:56	87852/87852	---M--	200	added ('OK')	application/x-font-ttf	etag:%221572c-54d9d3f32f634%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:57	358/358	---M--	200	added ('OK')	image/svg+xml	etag:%22166-54d9d3f33b1b4%22	http://emberhouse.com/wp-content/themes/emberhouse/svgs/arrow-dropdown.svg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/svgs/arrow-dropdown.svg	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:58	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-547a6f9f98925%22	http://emberhouse.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://emberhouse.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.6)
11:30:59	6256/6256	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221870-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp.eot?1xwfh1	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp0cb0.eot	(from http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/ssbp.min.css?ver=4.7.18)
11:31:01	90388/90388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216114-54d9d3f3353f4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:31:01	6256/6256	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221870-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbpd41d.eot	(from http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/ssbp.min.css?ver=4.7.18)
11:31:02	6180/6180	---M--	200	added ('OK')	application/x-font-woff	etag:%221824-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp.woff?1xwfh1	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp0cb0.woff	(from http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/ssbp.min.css?ver=4.7.18)
11:31:04	19240/19240	---M--	200	added ('OK')	image/svg+xml	etag:%224b28-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp.svg?1xwfh1	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp0cb0.svg	(from http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/ssbp.min.css?ver=4.7.18)
11:31:04	90132/90132	---M--	200	added ('OK')	application/x-font-ttf	etag:%2216014-54d9d3f3353f4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Semibold.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:31:04	6104/6104	---M--	200	added ('OK')	application/x-font-ttf	etag:%2217d8-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp.ttf?1xwfh1	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/sharebuttons/assets/fonts/ssbp0cb0.ttf	(from http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/ssbp.min.css?ver=4.7.18)
